rank,eigenvalue
1,14.485065460205078
2,15.021669387817383
3,16.71077537536621
4,19.63311767578125
5,23.65460968017578
6,28.752071380615234
7,34.58759307861328
8,40.716819763183594
9,46.40620422363281
10,50.42912292480469
11,51.935447692871094
12,52.33298873901367
13,52.63414001464844
14,53.01172637939453
15,53.28484344482422
16,53.64009094238281
17,53.910396575927734
18,54.25046157836914
19,54.53073501586914
20,54.84856033325195
21,55.103553771972656
22,55.40614700317383
23,55.68819808959961
24,55.9718017578125
25,56.268943786621094
26,56.530941009521484
27,56.84160232543945
28,57.0804443359375
29,57.412200927734375
30,57.632713317871094
31,57.98175048828125
32,58.17876052856445
33,58.62520217895508
34,58.831809997558594
35,59.29579162597656
36,59.51512145996094
37,59.947654724121094
38,60.20138168334961
39,60.55009460449219
40,60.91106033325195
41,61.07817840576172
42,61.21962356567383
43,61.23079299926758
44,61.70498275756836
45,61.83020782470703
46,61.99161911010742
47,62.07765579223633
48,62.09745407104492
49,62.25467300415039
50,62.3094596862793
51,62.313514709472656
52,62.33817672729492
53,62.382694244384766
54,62.52143478393555
55,62.60550308227539
56,62.7885627746582
57,62.87630844116211
58,63.09189224243164
59,63.17691421508789
60,63.34543228149414
61,63.41526412963867
62,63.50387191772461
63,63.613929748535156
64,63.755516052246094
65,63.90397644042969
66,64.05030822753906
67,64.24092102050781
68,64.31208038330078
69,64.3205795288086
70,64.34510803222656
71,64.56574249267578
72,64.64946746826172
73,64.73052978515625
74,64.85414123535156
75,64.94434356689453
76,65.03038024902344
77,65.12861633300781
78,65.29539489746094
79,65.36157989501953
80,65.36874389648438
81,65.41822052001953
82,65.4638671875
83,65.56267547607422
84,65.67439270019531
85,65.72553253173828
86,65.73636627197266
87,65.75936126708984
88,65.76502990722656
89,65.84364318847656
90,66.0030288696289
91,66.02200317382812
92,66.03688049316406
93,66.0972900390625
94,66.10154724121094
95,66.1519775390625
96,66.18601989746094
97,66.194091796875
98,66.29646301269531
99,66.31375122070312
100,66.322265625
101,66.33636474609375
102,66.3924789428711
103,66.42852020263672
104,66.44622802734375
105,66.4583740234375
106,66.46615600585938
107,66.53250885009766
108,66.59274291992188
109,66.60983276367188
110,66.61638641357422
111,66.6205825805664
112,66.62590789794922
113,66.65263366699219
114,66.6556625366211
115,66.65770721435547
116,66.6623306274414
117,66.6633071899414
118,66.66539764404297
119,66.76322937011719
120,66.76702117919922
121,66.77422332763672
122,66.78764343261719
123,66.79083251953125
124,66.82229614257812
125,66.82868957519531
126,66.85462951660156
127,66.86119842529297
128,66.86711883544922
129,66.87989044189453
130,66.8902359008789
131,66.8937759399414
132,66.89503479003906
133,66.89750671386719
134,66.90060424804688
135,66.9017105102539
136,66.90535736083984
137,66.90677642822266
138,66.91094207763672
139,66.91275787353516
140,66.91541290283203
141,66.9189224243164
142,66.92681884765625
143,66.93456268310547
144,66.94110107421875
145,66.95030212402344
146,66.96556854248047
147,66.96974182128906
148,66.97502136230469
149,66.97773742675781
150,66.98419189453125
151,67.0060806274414
152,67.00782012939453
153,67.00912475585938
154,67.01271057128906
155,67.0150146484375
156,67.01719665527344
157,67.021728515625
158,67.0250473022461
159,67.02681732177734
160,67.03165435791016
161,67.03408813476562
162,67.03888702392578
163,67.05445098876953
164,67.0590591430664
165,67.06497192382812
166,67.07057189941406
167,67.07737731933594
168,67.08203125
169,67.09999084472656
170,67.10237884521484
171,67.11511993408203
172,67.1220932006836
173,67.13104248046875
174,67.14376068115234
175,67.14458465576172
176,67.15653991699219
177,67.163330078125
178,67.16783142089844
179,67.18118286132812
180,67.1847915649414
181,67.19153594970703
182,67.19803619384766
183,67.20831298828125
184,67.25732421875
185,67.29730987548828
186,67.29975128173828
187,67.31497192382812
188,67.33565521240234
189,67.34273529052734
190,67.35057067871094
191,67.36478424072266
192,67.36666870117188
193,67.37213134765625
194,67.37754821777344
195,67.37965393066406
196,67.38416290283203
197,67.38813018798828
198,67.38970947265625
199,67.41873168945312
200,67.42277526855469
201,67.4268798828125
202,67.43737030029297
203,67.44434356689453
204,67.45069885253906
205,67.4618911743164
206,67.48335266113281
207,67.53287506103516
208,67.55741882324219
209,67.58880615234375
210,67.59153747558594
211,67.5955581665039
212,67.60148620605469
213,67.6162338256836
214,67.6291732788086
215,67.63182830810547
216,67.6498794555664
217,67.65904235839844
218,67.66289520263672
219,67.68184661865234
220,67.68753051757812
221,67.69377899169922
222,67.69942474365234
223,67.70077514648438
224,67.70447540283203
225,67.7050552368164
226,67.7176742553711
227,67.73432159423828
228,67.73997497558594
229,67.7468490600586
230,67.75808715820312
231,67.76036071777344
232,67.7673568725586
233,67.77279663085938
234,67.77864074707031
235,67.79534149169922
236,67.8025131225586
237,67.83036041259766
238,67.83488464355469
239,67.87286376953125
240,67.87423706054688
241,67.87751007080078
242,67.89315032958984
243,67.9311752319336
244,67.93524169921875
245,67.93726348876953
246,67.95556640625
247,67.95924377441406
248,67.96630859375
249,67.98750305175781
250,67.98847198486328
251,68.03811645507812
252,68.04197692871094
253,68.05254364013672
254,68.06458282470703
255,68.07500457763672
256,68.07829284667969
257,68.10298156738281
258,68.11193084716797
259,68.12532806396484
260,68.1334228515625
261,68.15191650390625
262,68.16172790527344
263,68.169921875
264,68.17334747314453
265,68.18434143066406
266,68.190673828125
267,68.19327545166016
268,68.1988754272461
269,68.20236206054688
270,68.20916748046875
271,68.21416473388672
272,68.2251205444336
273,68.22917175292969
274,68.23455810546875
275,68.24917602539062
276,68.25110626220703
277,68.26739501953125
278,68.27790832519531
279,68.30398559570312
280,68.3086166381836
281,68.31392669677734
282,68.3178939819336
283,68.33317565917969
284,68.33551025390625
285,68.34503936767578
286,68.35152435302734
287,68.35430908203125
288,68.35824584960938
289,68.36932373046875
290,68.3731918334961
291,68.37706756591797
292,68.38191986083984
293,68.3837661743164
294,68.3899154663086
295,68.43348693847656
296,68.44776916503906
297,68.47694396972656
298,68.48284912109375
299,68.48968505859375
300,68.49577331542969
301,68.50648498535156
302,68.51093292236328
303,68.52203369140625
304,68.53765869140625
305,68.58211517333984
306,68.58990478515625
307,68.60731506347656
308,68.61196899414062
309,68.62301635742188
310,68.6309585571289
311,68.63731384277344
312,68.66439056396484
313,68.69966125488281
314,68.70549774169922
315,68.7526626586914
316,68.78409576416016
317,68.79463958740234
318,68.8338851928711
319,68.85539245605469
320,68.86278533935547
321,68.9122543334961
322,68.9371337890625
323,68.94622802734375
324,68.95668029785156
325,69.00391387939453
326,69.01608276367188
327,69.101806640625
328,69.14513397216797
329,69.30542755126953
330,69.35633850097656
331,69.37095642089844
332,69.39752197265625
333,69.47962951660156
334,69.49929809570312
335,69.56790161132812
336,69.6258316040039
337,69.79672241210938
338,69.84547424316406
339,70.05496978759766
340,70.06707000732422
341,70.0939712524414
342,70.19218444824219
343,70.23824310302734
344,70.29871368408203
345,70.48461151123047
346,70.56970977783203
347,70.84353637695312
348,70.8827133178711
349,71.075927734375
350,71.10716247558594
351,71.19627380371094
352,71.24298858642578
353,71.45584106445312
354,71.53707122802734
355,71.75408172607422
356,71.89891815185547
357,72.08760070800781
358,72.1927261352539
359,72.34391784667969
360,72.51065826416016
361,72.65008544921875
362,72.70823669433594
363,72.9211654663086
364,73.02789306640625
365,73.22367858886719
366,73.31554412841797
367,73.54151916503906
368,73.66414642333984
369,73.87266540527344
370,73.97742462158203
371,74.14811706542969
372,74.25820922851562
373,74.45838928222656
374,74.53868103027344
375,74.68415832519531
376,74.76256561279297
377,74.90623474121094
378,75.04072570800781
379,75.21219635009766
380,75.31877136230469
381,75.5097427368164
382,75.57113647460938
383,75.77841186523438
384,75.798828125
385,76.00320434570312
386,76.05308532714844
387,76.28276062011719
388,76.32440948486328
389,76.5466537475586
390,76.59613800048828
391,76.80643463134766
392,76.86050415039062
393,77.08163452148438
394,77.10765075683594
395,77.38054656982422
396,77.38424682617188
397,77.66361999511719
398,77.6739273071289
399,77.94527435302734
400,77.98096466064453
