step,loss,spectral_loss,spacing_loss,smoothness_loss,amplitude_loss,edge_scale,spectral_scale,spectral_shift
0,0.7902258634567261,0.08114569634199142,1.2511708736419678,8.249473571777344,1.0,1.0,1.0,-0.0009979071328416467
50,0.22767992317676544,0.007359722629189491,0.2823590636253357,7.816162109375,0.9790441393852234,1.0002596378326416,0.967448353767395,0.0035652942024171352
100,0.17323513329029083,0.0006695689517073333,0.19510218501091003,7.405239105224609,0.9620912671089172,0.982238233089447,0.9394373893737793,0.003171982243657112
150,0.16198258101940155,0.0006073607364669442,0.18054835498332977,7.015201568603516,0.9490306377410889,0.9699855446815491,0.9130004644393921,0.0012211315333843231
200,0.14786800742149353,0.0003699291846714914,0.16016457974910736,6.647580146789551,0.9399998188018799,0.945054829120636,0.8931421637535095,-0.00234523368999362
250,0.1372753530740738,0.00048718880861997604,0.14570632576942444,6.300020217895508,0.9347983002662659,0.9198222160339355,0.8698192834854126,-0.0012329760938882828
300,0.14361289143562317,0.00031912943813949823,0.16529850661754608,5.9711527824401855,0.9329708814620972,0.8955867886543274,0.8573963046073914,0.0035055570770055056
350,0.1456591635942459,0.0005554524250328541,0.17512507736682892,5.660668849945068,0.9344790577888489,0.8686503767967224,0.8505440950393677,-0.012561731971800327
400,0.1337217092514038,0.00038674150709994137,0.1574707180261612,5.366074085235596,0.9388607740402222,0.8498283624649048,0.8400008678436279,-0.006247187033295631
450,0.1238546296954155,0.00036397704388946295,0.14332687854766846,5.088108062744141,0.9461355805397034,0.8281318545341492,0.8410828709602356,-0.005539563484489918
500,0.1303601861000061,0.0003828146727755666,0.16153614223003387,4.825329303741455,0.95599764585495,0.8085695505142212,0.8295921683311462,-0.00419953279197216
550,0.1366921365261078,0.00039227434899657965,0.1791280210018158,4.576767444610596,0.9681944251060486,0.7920701503753662,0.8181467056274414,0.005653918255120516
600,0.11899784207344055,0.0003763245767913759,0.1484278291463852,4.342496871948242,0.9826422333717346,0.7736117243766785,0.8207587599754333,0.014055744744837284
650,0.12206735461950302,0.0003729595337063074,0.15896347165107727,4.121354579925537,0.9991138577461243,0.75510573387146,0.8106160759925842,0.016343390569090843
700,0.11256789416074753,0.0003709521552082151,0.14411072432994843,3.912416934967041,1.0174118280410767,0.7380825281143188,0.8155778646469116,0.004313390702009201
750,0.10829617083072662,0.0003071388928219676,0.13960036635398865,3.7151458263397217,1.0373940467834473,0.7220733761787415,0.8227924108505249,-0.005743080750107765
800,0.10593263059854507,0.000367455038940534,0.13843242824077606,3.529010772705078,1.0588550567626953,0.7058019042015076,0.8224472403526306,-0.010000977665185928
850,0.10190018266439438,0.00042988776112906635,0.1337108165025711,3.3533248901367188,1.081641435623169,0.6908804178237915,0.8202136754989624,-0.011153953149914742
900,0.09263189882040024,0.00034610225702635944,0.11860688775777817,3.1876609325408936,1.1057461500167847,0.6734916567802429,0.8216095566749573,-0.012549733743071556
950,0.11105058342218399,0.00037436257116496563,0.15847693383693695,3.0306930541992188,1.1308284997940063,0.6609304547309875,0.8200583457946777,-0.01236304547637701
1000,0.10250617563724518,0.0003065513737965375,0.1444348841905594,2.8825290203094482,1.1568922996520996,0.6479364037513733,0.8189408779144287,-0.018568668514490128
1050,0.0919245034456253,0.00033667683601379395,0.12595294415950775,2.742755174636841,1.1838067770004272,0.634141206741333,0.8124077916145325,-0.010890149511396885
1100,0.09392024576663971,0.00039164870395325124,0.1324247121810913,2.610487699508667,1.2113702297210693,0.6227965950965881,0.8102096319198608,-0.0002796064654830843
1150,0.09578786790370941,0.000450125866336748,0.13848468661308289,2.4855849742889404,1.2395505905151367,0.611233651638031,0.8064207434654236,-0.004364312626421452
1200,0.07237108051776886,0.00035945564741268754,0.09414084255695343,2.3673033714294434,1.268174409866333,0.6021063923835754,0.7992106080055237,-0.011162171140313148
1250,0.08183783292770386,0.00028862725594080985,0.11538912355899811,2.2557382583618164,1.2972619533538818,0.5910746455192566,0.7992637753486633,-0.012524273246526718
1300,0.07655444741249084,0.00037040855386294425,0.10671573132276535,2.1499550342559814,1.3266208171844482,0.5830218195915222,0.7942742705345154,-0.00654034037142992
1350,0.07938560843467712,0.000395178678445518,0.11427131295204163,2.049856424331665,1.3562082052230835,0.575782299041748,0.7955345511436462,-0.003755665849894285
1400,0.07842045277357101,0.00035900293732993305,0.11425232142210007,1.9549401998519897,1.3858894109725952,0.5714206099510193,0.805901050567627,-0.007977085188031197
1450,0.07062041759490967,0.0004172491608187556,0.10026591271162033,1.8654444217681885,1.4157730340957642,0.5631962418556213,0.8067107796669006,-0.01707691326737404
1500,0.05981473997235298,0.00035158253740519285,0.08042418956756592,1.7805417776107788,1.4456467628479004,0.5576209425926208,0.7974839210510254,-0.01634080335497856
1550,0.07474882900714874,0.00033496267860755324,0.11187196522951126,1.7002333402633667,1.4755510091781616,0.5510309934616089,0.7999892234802246,-0.018892250955104828
1600,0.07885907590389252,0.0003597818431444466,0.121507428586483,1.6240204572677612,1.505373239517212,0.5458256006240845,0.7969422936439514,-0.01589449681341648
1650,0.06598880887031555,0.00033964947215281427,0.09719420224428177,1.5517044067382812,1.5350167751312256,0.54259192943573,0.7900705933570862,-0.01125504169613123
1700,0.07623986899852753,0.0003162197826895863,0.11905308067798615,1.4832597970962524,1.5645081996917725,0.5382347702980042,0.78862065076828,-0.022715149447321892
1750,0.06652095913887024,0.0003525166248437017,0.10077981650829315,1.4184730052947998,1.5938043594360352,0.5326654314994812,0.7825937271118164,-0.019704505801200867
1800,0.0720653086900711,0.0003949305391870439,0.11295654624700546,1.3569239377975464,1.6228671073913574,0.5279074311256409,0.76611328125,-0.01283337827771902
1850,0.05886998027563095,0.00032562026171945035,0.08781623840332031,1.298460602760315,1.651637077331543,0.5236034989356995,0.7577660083770752,-0.009321015328168869
1900,0.06502784788608551,0.00037819211138412356,0.10107873380184174,1.2430230379104614,1.6800602674484253,0.5194504261016846,0.7609410285949707,-0.019803140312433243
1950,0.063553586602211,0.0003507790679577738,0.0991792306303978,1.1904988288879395,1.708201289176941,0.5128843188285828,0.7648999691009521,-0.028441043570637703
2000,0.05332464352250099,0.0003448653733357787,0.07967882603406906,1.1404457092285156,1.7359085083007812,0.5084003806114197,0.7596385478973389,-0.03025318868458271
2050,0.07426464557647705,0.0003955542342737317,0.12235216051340103,1.0929821729660034,1.7631850242614746,0.503312349319458,0.7578557133674622,-0.023074831813573837
2100,0.06527791172266006,0.00040447685751132667,0.1052100881934166,1.047838807106018,1.7900041341781616,0.4977564215660095,0.7598066329956055,-0.015668652951717377
2150,0.06799476593732834,0.00034454220440238714,0.1115674376487732,1.0050090551376343,1.8164159059524536,0.4897291660308838,0.7567309737205505,-0.006748198997229338
2200,0.06018410623073578,0.0003843340964522213,0.09663277119398117,0.9641112089157104,1.842274785041809,0.48497095704078674,0.7436100840568542,0.001881668227724731
2250,0.053671710193157196,0.0003972517733927816,0.08431176096200943,0.9251068234443665,1.8675113916397095,0.4820622205734253,0.7425104379653931,-0.0007399800233542919
2300,0.06870574504137039,0.00030556772253476083,0.11525344848632812,0.8881232738494873,1.892225980758667,0.47628137469291687,0.7482863664627075,-0.01144097838550806
2350,0.05810903385281563,0.0003817222313955426,0.09456277638673782,0.8529542684555054,1.9163801670074463,0.46971744298934937,0.7486028671264648,-0.004360069986432791
2400,0.06685084104537964,0.0003813039802480489,0.11267155408859253,0.8193866610527039,1.939895510673523,0.4641105830669403,0.7377030253410339,0.0020551811903715134
2450,0.06183084100484848,0.0003945921780541539,0.10320209711790085,0.7872537970542908,1.9626622200012207,0.46171191334724426,0.7308980226516724,0.007537367753684521
2500,0.0822896733880043,0.0003807505709119141,0.14471380412578583,0.7567254304885864,1.9847650527954102,0.45772671699523926,0.738580584526062,0.010540466755628586
2550,0.05797584354877472,0.00031608453718945384,0.09675516188144684,0.7276008725166321,2.0061707496643066,0.4534386098384857,0.7442326545715332,0.0032949906308203936
2600,0.06099977716803551,0.00037636293563991785,0.10319703072309494,0.6998102068901062,2.026796340942383,0.45020413398742676,0.7296841144561768,0.002983947517350316
2650,0.056723009794950485,0.00041278789285570383,0.09506108611822128,0.6733067035675049,2.0466127395629883,0.44752004742622375,0.7227448225021362,0.010162425227463245
2700,0.05291653797030449,0.0004023807414341718,0.08793402463197708,0.6481366753578186,2.0657784938812256,0.44068673253059387,0.714255690574646,0.011433706618845463
2750,0.0654883161187172,0.00037345007876865566,0.1135825365781784,0.6239596009254456,2.083998203277588,0.4386857748031616,0.7187002301216125,0.013719079084694386
2800,0.0562538281083107,0.0003452193341217935,0.0955955907702446,0.6009374856948853,2.1014394760131836,0.4344151020050049,0.7249608039855957,0.005433639511466026
2850,0.06130073964595795,0.0003745082067325711,0.10603786259889603,0.578924298286438,2.1180579662323,0.4302458167076111,0.7263050079345703,0.006992327515035868
2900,0.05213748291134834,0.00038235244574025273,0.08808393031358719,0.5579307079315186,2.1338584423065186,0.42481642961502075,0.7278369665145874,-0.0007266116444952786
2950,0.05740706995129585,0.00038507365388795733,0.09898938983678818,0.5378490686416626,2.1488113403320312,0.4195415675640106,0.7303863763809204,-0.008358503691852093
2999,0.05221571773290634,0.00035064422991126776,0.08902397751808167,0.5190463662147522,2.16261887550354,0.4140271544456482,0.7310323715209961,-0.015460081398487091
