t,C(t)
0.000000000000000000e+00,2.459566076140617952e-06
5.025125667452812195e-02,4.583565518260002136e-02
1.005025133490562439e-01,1.967162191867828369e-01
1.507537662982940674e-01,3.599266409873962402e-01
2.010050266981124878e-01,4.854100346565246582e-01
2.512562870979309082e-01,5.932370424270629883e-01
3.015075325965881348e-01,6.932700276374816895e-01
3.517588078975677490e-01,7.820711135864257812e-01
4.020100533962249756e-01,8.566204309463500977e-01
4.522612988948822021e-01,9.246354699134826660e-01
5.025125741958618164e-01,9.849148392677307129e-01
5.527638196945190430e-01,1.039139270782470703e+00
6.030150651931762695e-01,1.085542559623718262e+00
6.532663106918334961e-01,1.127323031425476074e+00
7.035176157951354980e-01,1.161343932151794434e+00
7.537688612937927246e-01,1.192258000373840332e+00
8.040201067924499512e-01,1.217678308486938477e+00
8.542713522911071777e-01,1.240602254867553711e+00
9.045225977897644043e-01,1.260584712028503418e+00
9.547739028930664062e-01,1.276854157447814941e+00
1.005025148391723633e+00,1.286107540130615234e+00
1.055276393890380859e+00,1.293701410293579102e+00
1.105527639389038086e+00,1.302039861679077148e+00
1.155778884887695312e+00,1.304632782936096191e+00
1.206030130386352539e+00,1.310367345809936523e+00
1.256281375885009766e+00,1.314913630485534668e+00
1.306532621383666992e+00,1.317367196083068848e+00
1.356783986091613770e+00,1.319207906723022461e+00
1.407035231590270996e+00,1.317525029182434082e+00
1.457286477088928223e+00,1.319770812988281250e+00
1.507537722587585449e+00,1.322656154632568359e+00
1.557788968086242676e+00,1.326629281044006348e+00
1.608040213584899902e+00,1.330400347709655762e+00
1.658291459083557129e+00,1.328740358352661133e+00
1.708542704582214355e+00,1.329333662986755371e+00
1.758793950080871582e+00,1.328356266021728516e+00
1.809045195579528809e+00,1.330178022384643555e+00
1.859296441078186035e+00,1.329426050186157227e+00
1.909547805786132812e+00,1.328735351562500000e+00
1.959799051284790039e+00,1.328336238861083984e+00
2.010050296783447266e+00,1.330642700195312500e+00
2.060301542282104492e+00,1.329879999160766602e+00
2.110552787780761719e+00,1.330186367034912109e+00
2.160804033279418945e+00,1.332592844963073730e+00
2.211055278778076172e+00,1.332303524017333984e+00
2.261306524276733398e+00,1.330921888351440430e+00
2.311557769775390625e+00,1.328139662742614746e+00
2.361809015274047852e+00,1.324168562889099121e+00
2.412060260772705078e+00,1.325797915458679199e+00
2.462311506271362305e+00,1.329063653945922852e+00
2.512562751770019531e+00,1.328999519348144531e+00
2.562813997268676758e+00,1.326377272605895996e+00
2.613065242767333984e+00,1.325336098670959473e+00
2.663316488265991211e+00,1.328976631164550781e+00
2.713567972183227539e+00,1.329041600227355957e+00
2.763819217681884766e+00,1.332368612289428711e+00
2.814070463180541992e+00,1.330798745155334473e+00
2.864321708679199219e+00,1.327437639236450195e+00
2.914572954177856445e+00,1.328498601913452148e+00
2.964824199676513672e+00,1.327396512031555176e+00
3.015075445175170898e+00,1.327769398689270020e+00
3.065326690673828125e+00,1.330680131912231445e+00
3.115577936172485352e+00,1.329911589622497559e+00
3.165829181671142578e+00,1.329440951347351074e+00
3.216080427169799805e+00,1.326340079307556152e+00
3.266331672668457031e+00,1.323944330215454102e+00
3.316582918167114258e+00,1.329137921333312988e+00
3.366834163665771484e+00,1.333392858505249023e+00
3.417085409164428711e+00,1.330697178840637207e+00
3.467336654663085938e+00,1.329968333244323730e+00
3.517587900161743164e+00,1.328523278236389160e+00
3.567839145660400391e+00,1.329471468925476074e+00
3.618090391159057617e+00,1.327045202255249023e+00
3.668341636657714844e+00,1.329802870750427246e+00
3.718592882156372070e+00,1.330962657928466797e+00
3.768844366073608398e+00,1.332885384559631348e+00
3.819095611572265625e+00,1.332203030586242676e+00
3.869346857070922852e+00,1.331877470016479492e+00
3.919598102569580078e+00,1.330965280532836914e+00
3.969849348068237305e+00,1.330119252204895020e+00
4.020100593566894531e+00,1.328969597816467285e+00
4.070351600646972656e+00,1.328393340110778809e+00
4.120603084564208984e+00,1.329625964164733887e+00
4.170854091644287109e+00,1.330736875534057617e+00
4.221105575561523438e+00,1.330303072929382324e+00
4.271356582641601562e+00,1.332969546318054199e+00
4.321608066558837891e+00,1.331554293632507324e+00
4.371859550476074219e+00,1.331844925880432129e+00
4.422110557556152344e+00,1.330451965332031250e+00
4.472362041473388672e+00,1.330261468887329102e+00
4.522613048553466797e+00,1.327916622161865234e+00
4.572864532470703125e+00,1.328792572021484375e+00
4.623115539550781250e+00,1.334007263183593750e+00
4.673367023468017578e+00,1.335931658744812012e+00
4.723618030548095703e+00,1.335276246070861816e+00
4.773869514465332031e+00,1.330365300178527832e+00
4.824120521545410156e+00,1.330399394035339355e+00
4.874372005462646484e+00,1.330646872520446777e+00
4.924623012542724609e+00,1.329678893089294434e+00
4.974874496459960938e+00,1.326311945915222168e+00
5.025125503540039062e+00,1.327862024307250977e+00
5.075376987457275391e+00,1.329564809799194336e+00
5.125627994537353516e+00,1.330150485038757324e+00
5.175879478454589844e+00,1.331041455268859863e+00
5.226130485534667969e+00,1.330299973487854004e+00
5.276381969451904297e+00,1.332952499389648438e+00
5.326632976531982422e+00,1.330307006835937500e+00
5.376884460449218750e+00,1.330352902412414551e+00
5.427135467529296875e+00,1.330286026000976562e+00
5.477386951446533203e+00,1.331356525421142578e+00
5.527637958526611328e+00,1.333199143409729004e+00
5.577889442443847656e+00,1.333160161972045898e+00
5.628140449523925781e+00,1.325653195381164551e+00
5.678391933441162109e+00,1.323091387748718262e+00
5.728643417358398438e+00,1.327452659606933594e+00
5.778894424438476562e+00,1.330193519592285156e+00
5.829145908355712891e+00,1.327842950820922852e+00
5.879396915435791016e+00,1.325977087020874023e+00
5.929648399353027344e+00,1.324115514755249023e+00
5.979899406433105469e+00,1.325807452201843262e+00
6.030150890350341797e+00,1.327498912811279297e+00
6.080401897430419922e+00,1.325980782508850098e+00
6.130653381347656250e+00,1.323121547698974609e+00
6.180904388427734375e+00,1.323090434074401855e+00
6.231155872344970703e+00,1.325013518333435059e+00
6.281406879425048828e+00,1.322241902351379395e+00
6.331658363342285156e+00,1.323169946670532227e+00
6.381909370422363281e+00,1.324347734451293945e+00
6.432160854339599609e+00,1.326374650001525879e+00
6.482411861419677734e+00,1.324768662452697754e+00
6.532663345336914062e+00,1.325719952583312988e+00
6.582914352416992188e+00,1.327702999114990234e+00
6.633165836334228516e+00,1.330342888832092285e+00
6.683416843414306641e+00,1.326904296875000000e+00
6.733668327331542969e+00,1.325470685958862305e+00
6.783919334411621094e+00,1.323799729347229004e+00
6.834170818328857422e+00,1.325848340988159180e+00
6.884422302246093750e+00,1.327355146408081055e+00
6.934673309326171875e+00,1.326732277870178223e+00
6.984924793243408203e+00,1.324425816535949707e+00
7.035175800323486328e+00,1.323065876960754395e+00
7.085427284240722656e+00,1.325242996215820312e+00
7.135678291320800781e+00,1.326032638549804688e+00
7.185929775238037109e+00,1.331032037734985352e+00
7.236180782318115234e+00,1.329923987388610840e+00
7.286432266235351562e+00,1.331673622131347656e+00
7.336683273315429688e+00,1.329008102416992188e+00
7.386934757232666016e+00,1.329957365989685059e+00
7.437185764312744141e+00,1.329868197441101074e+00
7.487437248229980469e+00,1.331237077713012695e+00
7.537688255310058594e+00,1.332373142242431641e+00
7.587939739227294922e+00,1.328323721885681152e+00
7.638190746307373047e+00,1.329472661018371582e+00
7.688442230224609375e+00,1.331587314605712891e+00
7.738693237304687500e+00,1.331778883934020996e+00
7.788944721221923828e+00,1.327705860137939453e+00
7.839195728302001953e+00,1.328524112701416016e+00
7.889447212219238281e+00,1.328984498977661133e+00
7.939698696136474609e+00,1.327310442924499512e+00
7.989949703216552734e+00,1.327456235885620117e+00
8.040201187133789062e+00,1.328526496887207031e+00
8.090452194213867188e+00,1.327515006065368652e+00
8.140703201293945312e+00,1.324715018272399902e+00
8.190955162048339844e+00,1.324170827865600586e+00
8.241206169128417969e+00,1.324585795402526855e+00
8.291457176208496094e+00,1.327177882194519043e+00
8.341708183288574219e+00,1.330290317535400391e+00
8.391960144042968750e+00,1.329725503921508789e+00
8.442211151123046875e+00,1.326294660568237305e+00
8.492462158203125000e+00,1.330097198486328125e+00
8.542713165283203125e+00,1.329893231391906738e+00
8.592965126037597656e+00,1.328060865402221680e+00
8.643216133117675781e+00,1.328538656234741211e+00
8.693467140197753906e+00,1.325599670410156250e+00
8.743718147277832031e+00,1.325339317321777344e+00
8.793970108032226562e+00,1.324271559715270996e+00
8.844221115112304688e+00,1.323557734489440918e+00
8.894472122192382812e+00,1.325314998626708984e+00
8.944724082946777344e+00,1.322967171669006348e+00
8.994975090026855469e+00,1.326120734214782715e+00
9.045226097106933594e+00,1.328865766525268555e+00
9.095477104187011719e+00,1.328786015510559082e+00
9.145729064941406250e+00,1.324796080589294434e+00
9.195980072021484375e+00,1.325736999511718750e+00
9.246231079101562500e+00,1.324390888214111328e+00
9.296482086181640625e+00,1.322821855545043945e+00
9.346734046936035156e+00,1.321003675460815430e+00
9.396985054016113281e+00,1.321701884269714355e+00
9.447236061096191406e+00,1.326450467109680176e+00
9.497487068176269531e+00,1.328378915786743164e+00
9.547739028930664062e+00,1.326608896255493164e+00
9.597990036010742188e+00,1.328140616416931152e+00
9.648241043090820312e+00,1.329305648803710938e+00
9.698492050170898438e+00,1.328192353248596191e+00
9.748744010925292969e+00,1.329673051834106445e+00
9.798995018005371094e+00,1.330654740333557129e+00
9.849246025085449219e+00,1.330880284309387207e+00
9.899497032165527344e+00,1.328181147575378418e+00
9.949748992919921875e+00,1.324485778808593750e+00
1.000000000000000000e+01,1.323212385177612305e+00
