Delta,abs_K
1e-06,6968.395747600342
0.005026120603015076,6878.29224132124
0.01005124120603015,6786.464689637658
0.015076361809045225,6692.926905813376
0.020101482412060303,6597.696391214726
0.02512660301507538,6500.794244917397
0.030151723618090452,6402.245072643262
0.03517684422110553,6302.076895055619
0.040201964824120605,6200.321055441891
0.04522708542713568,6097.012126811871
0.05025220603015076,5992.18781844047
0.055277326633165834,5885.8888818832165
0.0603024472361809,5778.159016493362
0.06532756783919598,5669.0447744690755
0.07035268844221106,5558.595465459872
0.07537780904522613,5446.863060760923
0.08040292964824121,5333.90209712497
0.08542805025125629,5219.769580220822
0.09045317085427136,5104.524887768759
0.09547829145728644,4988.229672382531
0.10050341206030151,4870.947764148987
0.10552853266331659,4752.745072975755
0.11055365326633167,4633.689490738929
0.11557877386934674,4513.8507932622415
0.1206038944723618,4393.30054216069
0.12562901507537688,4272.111986581051
0.13065413567839196,4150.359964873704
0.13567925628140703,4028.1208062293736
0.1407043768844221,3905.472232316246
0.1457294974874372,3782.4932589530727
0.15075461809045226,3659.2640978544914
0.15577973869346734,3535.8660584861427
0.16080485929648242,3412.3814500672015
0.1658299798994975,3288.893483759366
0.17085510050251257,3165.486175081787
0.17588022110552765,3042.2442465923887
0.18090534170854272,2919.253030877102
0.1859304623115578,2796.5983738887553
0.19095558291457287,2674.3665386790562
0.19598070351758795,2552.644109567267
0.20100582412060303,2431.517896790574
0.2060309447236181,2311.074841681537
0.21105606532663318,2191.4019224192125
0.21608118592964826,2072.586060401398
0.22110630653266333,1954.7140272859106
0.2261314271356784,1837.8723527500224
0.23115654773869349,1722.1472330179568
0.23618166834170856,1607.6244402065786
0.2412067889447236,1494.389232541187
0.2462319095477387,1382.526265492732
0.25125703015075374,1272.1195038897713
0.2562821507537688,1163.2521350579882
0.2613072713567839,1056.006483041565
0.26633239195979896,950.463923960684
0.27135751256281404,846.704802560238
0.2763826331658291,744.8083500050925
0.2814077537688442,644.8526029778841
0.28643287437185927,546.9143241355123
0.29145799497487435,451.06892398065247
0.2964831155778894,357.3903842050495
0.3015082361809045,265.95118256157
0.3065333567839196,176.82221932168977
0.31155847738693465,90.07274537539706
0.3165835979899497,5.770292030450946
0.3216087185929648,76.01939743250841
0.3266338391959799,155.23243439228463
0.33165895979899496,231.80684965101318
0.33668408040201003,305.6826562737988
0.3417092010050251,376.8019104487139
0.3467343216080402,445.1087703125377
0.35175944221105526,510.5495526884697
0.35678456281407034,573.072787682373
0.3618096834170854,632.6292710850466
0.3668348040201005,689.172114529345
0.37185992462311557,742.6567933516963
0.37688504522613064,793.0411921088489
0.3819101658291457,840.2856477016685
0.3869352864321608,884.352990059484
0.3919604070351759,925.2085803398695
0.39698552763819095,962.8203466002342
0.402010648241206,997.1588168989547
0.4070357688442211,1028.197149785985
0.4120608894472362,1055.9111621447664
0.41708601005025125,1080.279354348615
0.42211113065326633,1101.2829326972787
0.4271362512562814,1118.905829101357
0.4321613718592965,1133.1347179847435
0.43718649246231156,1143.9590303772275
0.44221161306532664,1151.3709651717836
0.4472367336683417,1155.365497523937
0.4522618542713568,1155.9403843731561
0.45728697487437187,1153.0961670685829
0.46231209547738694,1146.836171084302
0.467337216080402,1137.1665028124517
0.4723623366834171,1124.096043425132
0.47738745728643217,1107.6364397994294
0.4824125778894472,1087.8020925022392
0.48743769849246227,1064.6101408353425
0.49246281909547734,1038.0804449449352
0.4974879396984924,1008.235565001054
0.5025130603015076,975.1007374583714
0.5075381809045226,938.7038484111617
0.5125633015075377,899.0754040592801
0.5175884221105528,856.2484983064242
0.5226135427135679,810.2587775136635
0.5276386633165829,761.1444024363045
0.532663783919598,708.9460073754599
0.5376889045226131,653.706656578539
0.5427140251256282,595.4717979273846
0.5477391457286432,534.2892139561154
0.5527642663316583,470.2089702443009
0.5577893869346734,403.2833612352042
0.5628145075376885,333.56685353172725
0.5678396281407035,261.1160267270425
0.5728647487437186,185.9895118306158
0.5778898693467337,108.24792735335359
0.5829149899497488,27.953813119547704
0.5879401105527639,54.82843812278952
0.5929652311557789,140.03265121861114
0.597990351758794,227.59094117091445
0.6030154723618091,317.43378767267495
0.6080405929648242,409.49011152029925
0.6130657135678392,503.6873528196811
0.6180908341708543,599.9515508932491
0.6231159547738694,698.2074257929053
0.6281410753768845,798.3784613203534
0.6331661959798995,900.3869894536183
0.6381913165829146,1004.1542760752054
0.6432164371859297,1109.6006078951032
0.6482415577889448,1216.6453804583143
0.6532666783919598,1325.2071871242879
0.6582917989949749,1435.203908903055
0.66331691959799,1546.552805030542
0.6683420402010051,1659.1706041628822
0.6733671608040201,1772.9735960676153
0.6783922814070352,1887.8777236874048
0.6834174020100503,2003.7986754503381
0.6884425226130654,2120.6519776988716
0.6934676432160805,2238.3530871073035
0.6984927638190955,2356.817482957518
0.7035178844221106,2475.960759140078
0.7085430050251257,2595.698715747314
0.7135681256281408,2715.9474501240074
0.7185932462311558,2836.6234472399883
0.7236183668341709,2957.643669249097
0.728643487437186,3078.925644097939
0.7336686080402011,3200.3875530473324
0.7386937286432161,3321.9483169702416
0.7437188492462312,3443.5276812889824
0.7487439698492463,3565.0462994154022
0.7537690904522614,3686.425814558137
0.7587942110552764,3807.588939761261
0.7638193316582915,3928.4595360403473
0.7688444522613066,4048.9626884821664
0.7738695728643217,4169.024780175838
0.7788946934673368,4288.573563845075
0.7839198140703518,4407.538231052105
0.7889449346733669,4525.8494788462685
0.793970055276382,4643.439573732208
0.7989951758793971,4760.242412834588
0.8040202964824121,4876.193582139253
0.8090454170854272,4991.230411692895
0.8140705376884423,5105.292027646376
0.8190956582914574,5218.319401030078
0.8241207788944724,5330.255393152667
0.8291458994974875,5441.044797518152
0.8341710201005026,5550.634378160019
0.8391961407035177,5658.972904294686
0.8442212613065327,5766.011181200978
0.8492463819095478,5871.702077236076
0.8542715025125629,5976.000546903368
0.859296623115578,6078.863649891517
0.864321743718593,6180.250566009445
0.8693468643216081,6280.122605946652
0.8743719849246232,6378.443217793072
0.8793971055276383,6475.1779892583145
0.8844222261306534,6570.294645535607
0.8894473467336684,6663.763042760733
0.8944724673366835,6755.555157022631
0.8994975879396986,6845.6450688878285
0.9045227085427137,6934.008943406817
0.9095478291457287,7020.625005576776
0.9145729497487438,7105.473511241014
0.9195980703517589,7188.536713412268
0.924623190954774,7269.798824012689
0.929648311557789,7349.245971030821
0.9346734321608041,7426.866151101689
0.9396985527638192,7502.649177523183
0.9447236733668343,7576.5866237287455
0.9497487939698493,7648.671762243181
0.9547739145728644,7718.89949915503
0.9597990351758795,7787.266304146256
0.9648241557788945,7853.770136127055
0.9698492763819095,7918.410364529991
0.9748743969849246,7981.187686325366
0.9798995175879397,8042.1040388264755
0.9849246381909548,8101.162508360578
0.9899497587939698,8158.367234888429
0.9949748793969849,8213.72331266181
1.0,8267.236687016459
